Time_hr,Choke_pct,OilRate_bbl_hr,WHP_psi,FLP_psi,BHP_psi
0,35.0,90.2,249.49,180.01,3015.83
1,40.0,93.31,247.76,177.76,3022.02
2,42.47,98.25,245.02,176.38,3019.78
3,42.47,101.5,245.0,175.03,3021.34
4,42.47,103.55,243.24,174.79,3019.35
5,42.47,104.96,241.6,176.28,3020.1
6,42.47,105.88,241.87,175.66,3020.11
7,42.47,107.18,242.6,174.89,3019.41
8,42.47,107.65,240.05,173.57,3022.81
9,42.47,108.93,240.32,174.31,3023.07
10,42.47,110.55,241.87,174.27,3020.72
11,42.47,109.34,242.05,173.74,3018.15
12,42.47,108.97,240.88,175.32,3020.95
13,42.47,109.03,242.63,175.14,3019.43
14,42.47,109.84,242.91,174.13,3019.7
15,42.47,109.21,241.19,174.98,3024.1
16,42.47,108.51,241.93,174.32,3022.38
17,42.47,108.42,241.02,174.42,3020.49
18,42.47,108.78,241.19,174.26,3019.01
19,42.47,108.62,242.12,174.74,3017.84
20,42.47,108.84,242.77,173.33,3020.06
21,42.47,108.61,243.04,173.08,3016.92
22,42.47,107.97,242.71,173.72,3016.52
23,42.47,108.66,240.77,173.9,3015.62
24,42.47,108.49,241.12,173.4,3016.65
25,42.47,109.21,240.74,174.4,3015.88
26,42.47,109.47,242.49,172.46,3016.01
27,42.47,109.67,242.07,173.37,3016.48
28,47.47,112.72,240.48,173.75,3012.23
29,52.47,118.13,237.75,171.79,3001.58
30,57.47,125.1,234.49,170.14,2992.84
31,62.47,133.36,230.95,168.81,2975.46
32,63.92,138.6,227.4,165.17,2961.58
33,63.92,143.3,227.6,164.37,2952.13
34,63.92,146.99,223.85,163.74,2947.49
35,63.92,148.43,224.58,163.39,2941.88
36,63.92,150.48,226.22,163.01,2939.27
37,63.92,151.38,224.24,163.27,2935.24
38,63.92,152.27,223.24,163.16,2934.8
39,63.92,153.38,222.5,162.49,2931.86
40,63.92,153.41,222.87,162.85,2929.92
41,63.92,154.09,224.1,162.82,2934.16
42,63.92,153.75,222.37,161.04,2936.36
43,63.92,154.22,222.34,161.45,2932.67
44,63.92,155.45,222.51,161.6,2933.78
45,63.92,155.32,222.72,160.98,2934.05
46,63.92,155.94,223.99,162.45,2932.27
47,58.92,151.78,224.76,163.16,2940.54
48,53.92,145.37,228.3,164.38,2949.59
49,48.92,138.07,228.95,166.92,2963.22
50,43.92,129.67,231.11,168.67,2982.25
51,38.92,121.16,233.77,170.87,2997.99
52,33.92,110.83,238.42,173.32,3017.25
53,29.36,103.01,244.1,175.82,3032.87
54,29.36,97.89,247.0,177.8,3045.96
55,24.36,89.97,250.18,179.62,3060.39
56,23.49,83.76,252.24,180.93,3072.89
57,23.49,79.3,255.73,180.31,3083.62
58,23.49,76.93,254.6,181.71,3088.2
59,23.49,73.94,255.1,182.08,3095.65
60,23.49,73.02,257.5,183.81,3095.11
61,23.49,71.65,258.4,183.46,3098.41
62,23.49,70.83,258.16,184.76,3100.18
63,23.49,70.2,259.53,184.24,3101.77
64,23.49,70.23,259.02,185.0,3099.15
65,23.49,70.42,258.79,184.86,3101.91
66,23.49,69.74,257.4,183.93,3102.96
67,23.49,68.97,259.6,182.86,3105.87
68,23.49,69.18,259.28,183.34,3105.32
69,23.49,69.2,260.26,184.2,3104.43
70,23.49,69.06,259.78,184.96,3100.09
71,23.49,68.46,260.25,185.38,3100.1
72,23.49,68.73,260.18,185.11,3098.93
73,23.49,69.0,258.81,185.67,3096.25
74,23.49,69.61,259.3,185.95,3099.75
75,23.49,70.36,260.18,184.46,3097.67
